 INFO	[2015-04-28 17:12:01,432] [main] (MonServiceSvi2.java:87)
     	Service  started on port: 8887

 INFO	[2015-04-28 17:12:01,459] [main] (Config.java:514)
     	initialiser - Rechargement de la configuration (Svi.properties) - Variable d'environnement (PROPERTIES_FILES)

 INFO	[2015-04-28 17:12:01,475] [main] (Config.java:409)
     	repAudioRef: /opt/application/64poms/current/tmp/prompts/

 INFO	[2015-04-28 17:12:01,516] [main] (Config.java:303)
     	getFileJson -  non trouve

 INFO	[2015-04-28 17:12:13,881] [WebSocketWorker-8] (OmsService.java:86)
     	NOUVEAU CLIENT SVI: 10.115.64.193

 INFO	[2015-04-28 17:12:24,488] [WebSocketWorker-8] (OmsCall.java:142)
     	OK evt=mt1.answered "localanswer=v=0\\r\\no=- 7385101183435213872 2 IN IP4 127.0.0.1\\r\\ns=-\\r\\nt=0 0\\r\\na=msid-semantic: WMS stream_label\\r\\nm=audio 52314 RTP/SAVPF 8\\r\\nc=IN IP4 10.184.48.159\\r\\na=rtcp:53940 IN IP4 10.184.48.159\\r\\na=candidate:1725685848 1 udp 2113937151 10.184.48.159 52314 typ host generation 0\\r\\na=candidate:1725685848 2 udp 2113937150 10.184.48.159 53940 typ host generation 0\\r\\na=candidate:676863144 1 tcp 1509957375 10.184.48.159 58143 typ host generation 0\\r\\na=candidate:676863144 2 tcp 1509957374 10.184.48.159 51268 typ host generation 0\\r\\na=ice-ufrag:Sxpmfdl/4yO994Pj\\r\\na=ice-pwd:vFp1Tb29GBDTkmkFBfho9nMU\\r\\na=fingerprint:sha-1 22:A1:AF:EE:67:43:2E:9F:C0:F5:EE:92:AE:A5:39:86:87:4F:62:3A\\r\\na=setup:active\\r\\na=mid:audio\\r\\na=sendrecv\\r\\na=rtpmap:8 PCMA/8000\\r\\na=ssrc:1792321782 cname:8Ip4dQlc8BykKGZd\\r\\na=ssrc:1792321782 msid:stream_label audio_label\\r\\na=ssrc:1792321782 mslabel:stream_label\\r\\na=ssrc:1792321782 label:audio_label\\r\\n"

 INFO	[2015-04-28 17:12:24,640] [WebSocketWorker-8] (MonServiceSvi2.java:153)
     	actionNavigation: 2

 INFO	[2015-04-28 17:12:24,641] [WebSocketWorker-8] (MonServiceSvi2.java:162)
     	prompt: /opt/application/64poms/current/tmp/prompts/INFO_Bienvenue_FR.a8k

 INFO	[2015-04-28 17:12:26,743] [WebSocketWorker-8] (MonServiceSvi2.java:167)
     	actionNavigation: 3

 INFO	[2015-04-28 17:12:26,744] [WebSocketWorker-8] (MonServiceSvi2.java:172)
     	prompt: /opt/application/64poms/current/tmp/prompts/MENU_723_Langue_FR.a8k

 INFO	[2015-04-28 17:12:31,351] [WebSocketWorker-8] (MonServiceSvi2.java:153)
     	actionNavigation: 3

 INFO	[2015-04-28 17:12:31,353] [WebSocketWorker-8] (MonServiceSvi2.java:180)
     	prompt: /opt/application/64poms/current/tmp/prompts/MENU_723_Principal_FR_L.a8k

ERROR	[2015-04-28 17:12:40,131] [WebSocketWorker-8] (NavigationManager.java:382)
     	calculerActionNavigation - client (1) service (723) pas de navigation

 INFO	[2015-04-28 17:12:40,131] [WebSocketWorker-8] (MonServiceSvi2.java:153)
     	actionNavigation: 1

ERROR	[2015-04-28 17:12:40,131] [WebSocketWorker-8] (NavigationManager.java:382)
     	calculerActionNavigation - client (1) service (723) pas de navigation

 INFO	[2015-04-28 17:12:40,133] [WebSocketWorker-8] (MonServiceSvi2.java:197)
     	actionNavigation: 1

 INFO	[2015-04-28 17:16:40,812] [main] (MonServiceSvi2.java:87)
     	Service  started on port: 8887

 INFO	[2015-04-28 17:16:40,838] [main] (Config.java:514)
